TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
30736,311,334.6450,175.1793,0.0342,---,338.7556,218.1969,0.1289, 6.6307
30786,311,334.6448,175.3434,0.0343,---,338.7556,218.1969,0.1289, 6.6210
30836,311,334.6448,175.4920,0.0345,---,338.7556,218.1969,0.1289, 6.6132
30886,311,334.6452,175.6247,0.0346,---,338.7556,218.1969,0.1289, 6.6067
30936,311,334.6457,175.7414,0.0347,---,338.7556,218.1969,0.1289, 6.6026
30986,311,334.6465,175.8421,0.0347,---,338.7556,218.1969,0.1289, 6.4950
31036,311,334.6472,175.9270,0.0348,---,338.7556,218.1969,0.1289, 6.5979
31086,311,334.6477,175.9926,0.0349,---,338.7556,218.1969,0.1289, 6.5910
31136,311,334.6479,176.0291,0.0351,---,338.7556,218.1969,0.1289, 6.5711
31186,311,334.6479,176.0380,0.0353,---,338.7556,218.1969,0.1289, 6.5529
31236,311,334.6479,176.0381,0.0352,---,338.7556,218.1969,0.1289, 6.5639
31286,311,334.6480,176.0382,0.0349,---,338.7556,218.1969,0.1289, 6.5910
31336,311,334.6480,176.0384,0.0346,---,338.7556,218.1969,0.1289, 6.6204
31386,311,334.6480,176.0386,0.0343,---,338.7556,218.1969,0.1289, 6.6473
31436,311,334.6480,176.0387,0.0341,---,338.7556,218.1969,0.1289, 6.5551
31486,311,334.6480,176.0389,0.0339,---,338.7556,218.1969,0.1289, 6.5700
31536,311,334.6480,176.0390,0.0338,---,338.7556,218.1969,0.1289, 6.5813
31586,311,334.6480,176.0390,0.0337,---,338.7556,218.1969,0.1289, 6.5899
31636,311,334.6480,176.0391,0.0336,---,338.7556,218.1969,0.1289, 6.5962
31686,311,334.6480,176.0391,0.0335,---,338.7556,218.1973,0.1289, 6.6027
31736,311,334.6480,176.0392,0.0335,---,338.7556,218.1977,0.1289, 6.6087
31786,311,334.6480,176.0392,0.0335,---,338.7556,218.1976,0.1289, 6.6105
31836,311,334.6480,176.0392,0.0335,---,338.7556,218.1967,0.1289, 6.6075
31886,311,334.6480,176.0392,0.0335,---,338.7556,218.1951,0.1288, 6.6014
31936,311,334.6480,176.0392,0.0334,---,338.7556,218.1915,0.1288, 6.5843
31986,311,334.6480,176.0392,0.0334,---,338.7557,218.1788,0.1287, 6.5241
