TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
2508,329,299.4000,133.2400,0.1776,---,34.8154,12.4313,-0.0897, 1000000.0000
2508,329,299.4000,133.2400,0.0908,---,34.8154,12.4313,-0.0857, 1000000.0000
2558,329,299.4000,133.2400,0.0377,---,34.8154,12.4313,-0.0748, 1000000.0000
2608,329,299.4000,133.2400,0.0157,---,34.8154,12.4313,-0.0696, 1000000.0000
2658,329,299.4000,133.2400,0.0092,---,34.8154,12.4313,-0.0651, 1000000.0000
2708,329,299.4000,133.2400,0.0099,---,34.8154,12.4313,-0.0603, 1000000.0000
2758,329,299.4000,133.2400,0.0133,---,34.8154,12.4313,-0.0552, 1000000.0000
2808,329,299.4000,133.2400,0.0174,---,34.8154,12.4313,-0.0505, 1000000.0000
2858,329,299.4000,133.2400,0.0212,---,34.8154,12.4313,-0.0466, 1000000.0000
2908,329,299.4000,133.2400,0.0244,---,34.8154,12.4313,-0.0436, 1000000.0000
2958,329,299.4000,133.2400,0.0269,---,34.8154,12.4313,-0.0415, 1000000.0000
3008,329,299.4000,133.2400,0.0288,---,34.8154,12.4313,-0.0402, 1000000.0000
3058,329,299.4000,133.2400,0.0302,---,34.8154,12.4313,-0.0395, 1000000.0000
3108,329,299.4000,133.2400,0.0312,---,34.8154,12.4313,-0.0393, 1000000.0000
3158,329,299.4000,133.2400,0.0319,---,34.8154,12.4313,-0.0393, 1000000.0000
3208,329,299.4000,133.2400,0.0324,---,34.8154,12.4313,-0.0396, 1000000.0000
3258,329,299.4000,133.2400,0.0327,---,34.8154,12.4313,-0.0399, 1000000.0000
3308,329,299.4000,133.2400,0.0329,---,34.8154,12.4313,-0.0401, 1000000.0000
3358,329,299.4000,133.2400,0.0331,---,34.8154,12.4313,-0.0404, 1000000.0000
3408,329,299.4000,133.2400,0.0332,---,34.8154,12.4313,-0.0406, 1000000.0000
3458,329,299.4000,133.2400,0.0333,---,34.8154,12.4313,-0.0408, 1000000.0000
3508,329,299.4000,133.2400,0.0333,---,34.8154,12.4313,-0.0410, 1000000.0000
3558,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0411, 1000000.0000
3608,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0411, 1000000.0000
3658,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
3708,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
3758,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
3808,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
3858,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
3908,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
3958,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4008,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4058,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4108,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4158,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4208,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4258,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4308,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4358,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4408,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4458,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
4508,329,299.4000,133.2400,0.0334,---,34.8154,12.4313,-0.0412, 1000000.0000
