1610940347518,2638,detection_eval_operator,runtime,0.1125
1610940347518,2638,315,-1,VIS ERROR,-1.0000
1610940347518,2638,detection_eval_operator,runtime,0.9782
1610940347519,2638,315,0,VIS ERROR,44.7727
1610940347897,2688,detection_eval_operator,runtime,0.1028
1610940347898,2688,315,1,VIS ERROR,0.2181
1610940348208,2738,detection_eval_operator,runtime,0.1163
1610940348208,2738,315,2,VIS ERROR,0.1711
1610940348501,2788,detection_eval_operator,runtime,0.1192
1610940348501,2788,315,3,VIS ERROR,0.1396
1610940348664,2838,detection_eval_operator,runtime,0.0324
1610940348664,2838,315,-1,VIS ERROR,-1.0000
1610940348941,2888,detection_eval_operator,runtime,0.0362
1610940348941,2888,315,-1,VIS ERROR,-1.0000
1610940349200,2938,detection_eval_operator,runtime,0.0312
1610940349200,2938,315,-1,VIS ERROR,-1.0000
1610940349473,2988,detection_eval_operator,runtime,0.0341
1610940349473,2988,315,-1,VIS ERROR,-1.0000
1610940349844,3038,detection_eval_operator,runtime,0.1168
1610940349844,3038,315,4,VIS ERROR,0.0641
1610940350070,3088,detection_eval_operator,runtime,0.1500
1610940350070,3088,315,5,VIS ERROR,0.5008
1610940350375,3138,detection_eval_operator,runtime,0.1471
1610940350375,3138,315,6,VIS ERROR,0.1009
1610940350678,3188,detection_eval_operator,runtime,0.1175
1610940350678,3188,315,7,VIS ERROR,0.1263
1610940351014,3238,detection_eval_operator,runtime,0.1185
1610940351014,3238,315,8,VIS ERROR,0.0760
1610940351359,3288,detection_eval_operator,runtime,0.1276
1610940351360,3288,315,9,VIS ERROR,0.0533
1610940351676,3338,detection_eval_operator,runtime,0.1209
1610940351676,3338,315,10,VIS ERROR,0.0484
1610940351956,3388,detection_eval_operator,runtime,0.1140
1610940351956,3388,315,11,VIS ERROR,0.4933
1610940352276,3438,detection_eval_operator,runtime,0.1197
1610940352276,3438,315,12,VIS ERROR,0.0457
1610940352619,3488,detection_eval_operator,runtime,0.1235
1610940352619,3488,315,13,VIS ERROR,0.5058
1610940352910,3538,detection_eval_operator,runtime,0.1516
1610940352910,3538,315,14,VIS ERROR,0.0305
1610940353223,3588,detection_eval_operator,runtime,0.1166
1610940353223,3588,315,15,VIS ERROR,0.0296
1610940353493,3638,detection_eval_operator,runtime,0.1752
1610940353494,3638,315,16,VIS ERROR,0.0326
1610940353885,3688,detection_eval_operator,runtime,0.1221
1610940353885,3688,315,17,VIS ERROR,0.0353
1610940354144,3738,detection_eval_operator,runtime,0.1996
1610940354145,3738,315,18,VIS ERROR,0.0239
1610940354518,3788,detection_eval_operator,runtime,0.1762
1610940354518,3788,315,19,VIS ERROR,0.0265
1610940354788,3838,detection_eval_operator,runtime,0.1237
1610940354788,3838,315,20,VIS ERROR,0.0276
1610940355091,3888,detection_eval_operator,runtime,0.1299
1610940355092,3888,315,21,VIS ERROR,0.0432
1610940355385,3938,detection_eval_operator,runtime,0.1197
1610940355385,3938,315,22,VIS ERROR,0.0379
1610940355753,3988,detection_eval_operator,runtime,0.1488
1610940355753,3988,315,23,VIS ERROR,0.0462
1610940356056,4038,detection_eval_operator,runtime,0.1349
1610940356056,4038,315,24,VIS ERROR,0.3123
1610940356330,4088,detection_eval_operator,runtime,0.1326
1610940356330,4088,315,25,VIS ERROR,0.3423
1610940356667,4138,detection_eval_operator,runtime,0.1791
1610940356667,4138,315,26,VIS ERROR,0.3511
1610940356960,4188,detection_eval_operator,runtime,0.1390
1610940356960,4188,315,27,VIS ERROR,0.5962
1610940357334,4238,detection_eval_operator,runtime,0.1528
1610940357335,4238,315,28,VIS ERROR,0.6544
1610940357587,4288,detection_eval_operator,runtime,0.1388
1610940357587,4288,315,29,VIS ERROR,0.7258
1610940357881,4338,detection_eval_operator,runtime,0.1421
1610940357881,4338,315,30,VIS ERROR,0.7428
1610940358187,4388,detection_eval_operator,runtime,0.3669
1610940358187,4388,315,31,VIS ERROR,0.6088
1610940358510,4438,detection_eval_operator,runtime,0.2913
1610940358510,4438,315,32,VIS ERROR,0.5339
1610940358788,4488,detection_eval_operator,runtime,0.1411
1610940358788,4488,315,33,VIS ERROR,0.0541
1610940358996,4538,detection_eval_operator,runtime,0.0432
1610940358996,4538,315,-1,VIS ERROR,-1.0000
1610940359248,4588,detection_eval_operator,runtime,0.0560
1610940359248,4588,315,-1,VIS ERROR,-1.0000
1610940359483,4638,detection_eval_operator,runtime,0.1070
1610940359484,4638,315,-1,VIS ERROR,-1.0000
1610940359731,4688,detection_eval_operator,runtime,0.0529
1610940359732,4688,315,-1,VIS ERROR,-1.0000
1610940359990,4738,detection_eval_operator,runtime,0.0620
1610940359990,4738,315,-1,VIS ERROR,-1.0000
1610940360243,4788,detection_eval_operator,runtime,0.0632
1610940360243,4788,315,-1,VIS ERROR,-1.0000
1610940360502,4838,detection_eval_operator,runtime,0.0594
1610940360503,4838,315,-1,VIS ERROR,-1.0000
1610940360733,4888,detection_eval_operator,runtime,0.0563
1610940360733,4888,315,-1,VIS ERROR,-1.0000
1610940360969,4938,detection_eval_operator,runtime,0.0513
